num_of_samples,random_num,cas_number,pred_value,real_value,error_value
10,40,51-21-8,-8.93283275053,-5.5,3.43283275053
10,41,2136-99-4,-7.33426732677,-4.5,2.83426732677
10,42,92-87-5,-5.92000012465,-6.8,0.879999875346
10,43,92-69-3,-7.59210486668,-7.9,0.307895133315
10,44,79-06-1,-6.27004289559,-4.1,2.17004289559
10,45,94-12-2,-8.6813568645,-7.6,1.0813568645
10,46,140-88-5,-5.02482888648,-4.6,0.424828886484
10,47,78-79-5,-7.25288969032,-4.3,2.95288969032
10,48,4282-40-0,-7.91955266728,-5.1,2.81955266728
10,49,117-89-5,-7.96905035186,-9.3,1.33094964814
10,50,123-11-5,-8.09471142036,-6.1,1.99471142036
10,51,2432-99-7,-6.72094415613,-6.2,0.520944156126
10,52,51940-44-4,-8.70219261789,-7.8,0.902192617886
10,53,79-01-6,-6.00436117307,-3.8,2.20436117307
10,54,53-16-7,-5.79122622183,-5.8,0.00877377816651
10,55,96-09-3,-6.30256240852,-6.4,0.0974375914848
10,56,19550-30-2,-8.74378665386,-4.7,4.04378665386
10,57,382-45-6,-6.19247067451,-5.7,0.492470674509
10,58,378-44-9,-6.41430430688,-5.2,1.21430430688
10,59,2367-82-0,-6.98987578061,-6.5,0.489875780611
10,60,378-44-9,-6.48049607848,-5.2,1.28049607848
10,61,486-64-6,-7.48579584908,-6.7,0.785795849078
10,62,98-85-1,-10.5286299409,-6.9,3.6286299409
10,63,589-90-2,-5.97623144785,-6.0,0.0237685521488
10,64,98-82-8,-7.30616154153,-6.8,0.506161541531
10,65,2050-67-1,-7.04944479974,-6.9,0.149444799743
10,66,14309-40-1,-6.83009676297,-7.6,0.769903237031
10,67,118-91-2,-6.03001644525,-6.8,0.769983554747
10,68,458-88-8,-7.30139244782,-6.2,1.10139244782
10,69,102-76-1,-7.0185940479,-6.4,0.618594047896
10,70,564-25-0,-8.55709378947,-5.3,3.25709378947
10,71,83-49-8,-8.53178189939,-5.5,3.03178189939
10,72,3248-05-3,-6.52061565613,-6.4,0.120615656133
10,73,56-23-5,-6.06334882326,-3.4,2.66334882326
10,74,77-65-6,-8.53845262962,-6.0,2.53845262962
10,75,72-48-0,-6.54399201881,-7.4,0.856007981189
10,76,2244-16-8,-8.03530888451,-7.2,0.835308884509
10,77,939-27-5,-7.76387851585,-8.4,0.63612148415
10,78,75-08-1,-5.90828359792,-2.5,3.40828359792
10,79,1689-83-4,-5.90340588625,-6.6,0.696594113749
10,80,2939-80-2,-7.21232103105,-5.3,1.91232103105
10,81,60-12-8,-6.59070849012,-6.4,0.190708490119
10,82,57-63-6,-8.20054434358,-6.1,2.10054434358
10,83,38380-02-8,-6.37751287037,-6.4,0.0224871296286
10,84,36653-82-4,-8.57972794793,-6.6,1.97972794793
10,85,123-66-0,-7.72552259472,-5.7,2.02552259472
10,86,76-14-2,-7.78483634597,-5.2,2.58483634597
10,87,95-63-6,-7.37260279566,-6.8,0.572602795664
10,88,95-14-7,-6.33642046278,-6.8,0.463579537219
10,89,2051-62-9,-6.7352335573,-7.6,0.864766442701
10,90,591-78-6,-6.5485967987,-5.0,1.5485967987
10,91,1918-00-9,-7.97721415547,-6.0,1.97721415547
10,92,83-32-9,-6.37795948855,-7.8,1.42204051145
10,93,484-12-8,-6.49012331033,-6.8,0.309876689675
10,94,103-85-5,-6.97132324843,-6.6,0.371323248431
10,95,6893-02-3,-5.76021706662,-4.9,0.860217066623
10,96,59-46-1,-7.29089273072,-6.9,0.390892730722
10,97,52663-62-4,-6.92149145182,-4.8,2.12149145182
10,98,41464-40-8,-5.78002849553,-7.6,1.81997150447
10,99,434-03-7,-6.7268201397,-6.1,0.626820139701
20,0,591-78-6,-6.45433510114,-5.0,1.45433510114
20,1,592-41-6,-6.0862902927,-4.5,1.5862902927
20,2,87-72-9,-8.02235396058,-5.1,2.92235396058
20,3,132-64-9,-8.00787450975,-7.4,0.607874509748
20,4,40186-72-9,-10.7212164509,-4.7,6.02121645087
20,5,364-62-5,-7.10257574551,-6.9,0.202575745512
20,6,691-37-2,-9.06376600591,-4.4,4.66376600591
20,7,2050-68-2,-7.56004161156,-7.0,0.560041611565
20,8,112-53-8,-6.78420181211,-6.3,0.48420181211
20,9,111-83-1,-7.64776777103,-5.5,2.14776777103
20,10,475-25-2,-8.61463560013,-6.8,1.81463560013
20,11,13476-55-6,-5.95586621038,-8.0,2.04413378962
20,12,13476-55-6,-6.37532173559,-8.0,1.62467826441
20,13,4248-20-8,-7.28466766275,-5.9,1.38466766275
