,str_ID,affinity
611,519-05-1,-6.3
612,51940-44-4,-7.8
613,51953-17-4,-4.7
614,52-01-7,-6.2
615,52-21-1,-5.2
616,52-31-3,-8.9
617,52-39-1,-5.2
618,52-43-7,-7.2
619,52-67-5,-4.7
620,52-86-8,-7.9
621,5221-53-4,-6.6
622,52251-71-5,-7.3
623,5234-68-4,-6.5
624,526-73-8,-6.7
625,526-75-0,-6.8
626,52645-53-1,-8.6
627,52663-62-4,-4.8
628,52663-63-5,-4.7
629,52663-69-1,-5.1
630,52663-71-5,-5.1
631,52663-77-1,-4.6
632,52704-70-8,-4.7
633,52712-04-6,-5.9
634,52712-05-7,-4.9
635,529-86-2,-7.5
636,53-06-5,-5.0
637,53-16-7,-5.8
638,53-19-0,-8.6
639,53-41-8,-6.0
640,53-43-0,-5.8
641,53-70-3,-8.5
642,53-86-1,-5.7
643,530-78-9,-8.7
644,533-17-5,-6.5
645,533-74-4,-4.4
646,535-80-8,-6.5
647,53648-05-8,-7.9
648,537-47-3,-7.1
649,537-92-8,-6.9
650,538-32-9,-7.3
651,538-68-1,-7.2
652,538-93-2,-7.1
653,53808-87-0,-6.2
654,539-03-7,-6.2
655,539-82-2,-5.5
656,5392-40-5,-7.0
657,54-11-5,-6.6
658,54-85-3,-6.0
659,540-36-3,-5.8
660,540-54-5,-3.3
661,541-33-3,-4.2
662,541-48-0,-4.6
663,541-73-1,-5.7
664,542-55-2,-4.4
665,542-69-8,-4.1
666,542-76-7,-4.0
667,543-49-7,-5.3
668,543-59-9,-4.3
669,544-10-5,-4.7
670,544-25-2,-6.0
671,544-63-8,-6.6
672,547-75-1,-5.2
673,548-00-5,-5.3
674,55-21-0,-6.8
675,551-06-4,-8.1
676,552-58-9,-9.2
677,552-63-6,-7.0
678,55215-17-3,-4.8
679,55215-18-4,-4.9
680,553-26-4,-6.6
681,55312-69-1,-5.3
682,554-12-1,-4.2
683,555-37-3,-7.6
684,557-17-5,-3.6
685,55702-45-9,-6.1
686,558-13-4,-3.1
687,5582-82-1,-5.9
688,55880-77-8,-5.6
